"","year_quarter","expected_nairu"
"1",1960 Q1,5.65
"2",1960 Q2,5.66
"3",1960 Q3,5.67
"4",1960 Q4,5.66
"5",1961 Q1,5.7
"6",1961 Q2,5.61
"7",1961 Q3,5.68
"8",1961 Q4,5.65
"9",1962 Q1,5.65
"10",1962 Q2,5.64
"11",1962 Q3,5.63
"12",1962 Q4,5.653713
"13",1963 Q1,5.723484
"14",1963 Q2,5.714283
"15",1963 Q3,5.691967
"16",1963 Q4,5.730514
"17",1964 Q1,5.703195
"18",1964 Q2,5.721664
"19",1964 Q3,5.755845
"20",1964 Q4,5.768649
"21",1965 Q1,5.755529
"22",1965 Q2,5.800488
"23",1965 Q3,5.785126
"24",1965 Q4,5.806596
"25",1966 Q1,5.824723
"26",1966 Q2,5.853393
"27",1966 Q3,5.839978
"28",1966 Q4,5.820402
"29",1967 Q1,5.7766
"30",1967 Q2,5.761751
"31",1967 Q3,5.818932
"32",1967 Q4,5.811484
"33",1968 Q1,5.807345
"34",1968 Q2,5.824373
"35",1968 Q3,5.852243
"36",1968 Q4,5.834351
"37",1969 Q1,5.816701
"38",1969 Q2,5.828296
"39",1969 Q3,5.887989
"40",1969 Q4,5.886437
"41",1970 Q1,5.945694
"42",1970 Q2,5.981326
"43",1970 Q3,6.045937
"44",1970 Q4,6.086252
"45",1971 Q1,6.09183
"46",1971 Q2,6.119024
"47",1971 Q3,6.095156
"48",1971 Q4,6.133883
"49",1972 Q1,6.241012
"50",1972 Q2,6.119955
"51",1972 Q3,6.14245
"52",1972 Q4,6.14778
"53",1973 Q1,6.102334
"54",1973 Q2,6.175746
"55",1973 Q3,6.106983
"56",1973 Q4,6.169794
"57",1974 Q1,6.214703
"58",1974 Q2,6.223839
"59",1974 Q3,6.245285
"60",1974 Q4,6.282167
"61",1975 Q1,6.400679
"62",1975 Q2,6.383731
"63",1975 Q3,6.358522
"64",1975 Q4,6.371889
"65",1976 Q1,6.387149
"66",1976 Q2,6.363537
"67",1976 Q3,6.250207
"68",1976 Q4,6.370627
"69",1977 Q1,6.369673
"70",1977 Q2,6.328196
"71",1977 Q3,6.278551
"72",1977 Q4,6.25849
"73",1978 Q1,6.333845
"74",1978 Q2,6.261773
"75",1978 Q3,6.257653
"76",1978 Q4,6.278737
"77",1979 Q1,6.231227
"78",1979 Q2,6.242494
"79",1979 Q3,6.240106
"80",1979 Q4,6.24042
"81",1980 Q1,6.233901
"82",1980 Q2,6.32823
"83",1980 Q3,6.334563
"84",1980 Q4,6.277726
"85",1981 Q1,6.291173
"86",1981 Q2,6.294438
"87",1981 Q3,6.270126
"88",1981 Q4,6.26378
"89",1982 Q1,6.293969
"90",1982 Q2,6.267794
"91",1982 Q3,6.311659
"92",1982 Q4,6.267118
"93",1983 Q1,6.234534
"94",1983 Q2,6.190632
"95",1983 Q3,6.151659
"96",1983 Q4,6.1007
"97",1984 Q1,6.035354
"98",1984 Q2,6.033147
"99",1984 Q3,6.011934
"100",1984 Q4,5.963615
"101",1985 Q1,5.959119
"102",1985 Q2,5.950497
"103",1985 Q3,5.920372
"104",1985 Q4,5.950072
"105",1986 Q1,5.910115
"106",1986 Q2,5.934162
"107",1986 Q3,5.906097
"108",1986 Q4,5.87542
"109",1987 Q1,5.900305
"110",1987 Q2,5.85486
"111",1987 Q3,5.833062
"112",1987 Q4,5.840699
"113",1988 Q1,5.818386
"114",1988 Q2,5.788801
"115",1988 Q3,5.794711
"116",1988 Q4,5.775615
"117",1989 Q1,5.768841
"118",1989 Q2,5.750259
"119",1989 Q3,5.722246
"120",1989 Q4,5.746722
"121",1990 Q1,5.859793
"122",1990 Q2,5.84259
"123",1990 Q3,5.835293
"124",1990 Q4,5.811733
"125",1991 Q1,5.834376
"126",1991 Q2,5.780303
"127",1991 Q3,5.787294
"128",1991 Q4,5.792912
"129",1992 Q1,5.79338
"130",1992 Q2,5.742649
"131",1992 Q3,5.76993
"132",1992 Q4,5.739926
"133",1993 Q1,5.800628
"134",1993 Q2,5.753791
"135",1993 Q3,5.748201
"136",1993 Q4,5.733866
"137",1994 Q1,5.8
"138",1994 Q2,5.78
"139",1994 Q3,5.76
"140",1994 Q4,5.74
"141",1995 Q1,5.73
"142",1995 Q2,5.71
"143",1995 Q3,5.69
"144",1995 Q4,5.67
"145",1996 Q1,5.66
"146",1996 Q2,5.64
"147",1996 Q3,5.62
"148",1996 Q4,5.6
"149",1997 Q1,5.6
"150",1997 Q2,5.6
"151",1997 Q3,5.6
"152",1997 Q4,5.5
"153",1998 Q1,5.5
"154",1998 Q2,5.4
"155",1998 Q3,5.4
"156",1998 Q4,5.4
"157",1999 Q1,5.4
"158",1999 Q2,5.2
"159",1999 Q3,5.2
"160",1999 Q4,5.1125
"161",2000 Q1,5.2
"162",2000 Q2,5.2
"163",2000 Q3,4.9
"164",2000 Q4,4.8
"165",2001 Q1,4.8
"166",2001 Q2,4.955
"167",2001 Q3,5.075
"168",2001 Q4,5.1625
"169",2002 Q1,5.15
"170",2002 Q2,4.9875
"171",2002 Q3,4.954924
"172",2002 Q4,4.954924
"173",2003 Q1,4.954924
"174",2003 Q2,4.956897
"175",2003 Q3,4.952008
"176",2003 Q4,4.953508
"177",2004 Q1,4.908713
"178",2004 Q2,4.923762
"179",2004 Q3,4.994064
"180",2004 Q4,4.994064
"181",2005 Q1,4.986598
"182",2005 Q2,4.992865
"183",2005 Q3,4.994512
"184",2005 Q4,4.996401
"185",2006 Q1,5
"186",2006 Q2,5
"187",2006 Q3,5
"188",2006 Q4,5
"189",2007 Q1,4.98203
"190",2007 Q2,4.986339
"191",2007 Q3,4.896387
"192",2007 Q4,4.804098
"193",2008 Q1,4.792035
"194",2008 Q2,4.774485
"195",2008 Q3,4.779929
"196",2008 Q4,4.7696
"197",2009 Q1,4.760405
"198",2009 Q2,4.91438
"199",2009 Q3,5.0968
"200",2009 Q4,5.2203
"201",2010 Q1,5.22
"202",2010 Q2,5.22
"203",2010 Q3,5.485
"204",2010 Q4,6
"205",2011 Q1,6
"206",2011 Q2,6
"207",2011 Q3,6
"208",2011 Q4,6
"209",2012 Q1,6
"210",2012 Q2,6
"211",2012 Q3,6
"212",2012 Q4,6
"213",2013 Q1,5.8985
"214",2013 Q2,5.69045
"215",2013 Q3,5.411
"216",2013 Q4,5.33299997234344
"217",2014 Q1,5.3765
"218",2014 Q2,5.26875
"219",2014 Q3,5.2
"220",2014 Q4,5.2
"221",2015 Q1,5.2
"222",2015 Q2,5.2
"223",2015 Q3,5.2
"224",2015 Q4,5.1
"225",2016 Q1,5.05
"226",2016 Q2,5
"227",2016 Q3,5
"228",2016 Q4,5
"229",2017 Q1,5
"230",2017 Q2,4.901
"231",2017 Q3,4.85
"232",2017 Q4,4.75
"233",2018 Q1,4.7
"234",2018 Q2,4.7
"235",2018 Q3,4.65
"236",2018 Q4,4.6
