year_quarter,fed_head_1,fed_head
1951 Q2,Pre-Volcker,Martin
1951 Q3,Pre-Volcker,Martin
1951 Q4,Pre-Volcker,Martin
1952 Q1,Pre-Volcker,Martin
1952 Q2,Pre-Volcker,Martin
1952 Q3,Pre-Volcker,Martin
1952 Q4,Pre-Volcker,Martin
1953 Q1,Pre-Volcker,Martin
1953 Q2,Pre-Volcker,Martin
1953 Q3,Pre-Volcker,Martin
1953 Q4,Pre-Volcker,Martin
1954 Q1,Pre-Volcker,Martin
1954 Q2,Pre-Volcker,Martin
1954 Q3,Pre-Volcker,Martin
1954 Q4,Pre-Volcker,Martin
1955 Q1,Pre-Volcker,Martin
1955 Q2,Pre-Volcker,Martin
1955 Q3,Pre-Volcker,Martin
1955 Q4,Pre-Volcker,Martin
1956 Q1,Pre-Volcker,Martin
1956 Q2,Pre-Volcker,Martin
1956 Q3,Pre-Volcker,Martin
1956 Q4,Pre-Volcker,Martin
1957 Q1,Pre-Volcker,Martin
1957 Q2,Pre-Volcker,Martin
1957 Q3,Pre-Volcker,Martin
1957 Q4,Pre-Volcker,Martin
1958 Q1,Pre-Volcker,Martin
1958 Q2,Pre-Volcker,Martin
1958 Q3,Pre-Volcker,Martin
1958 Q4,Pre-Volcker,Martin
1959 Q1,Pre-Volcker,Martin
1959 Q2,Pre-Volcker,Martin
1959 Q3,Pre-Volcker,Martin
1959 Q4,Pre-Volcker,Martin
1960 Q1,Pre-Volcker,Martin
1960 Q2,Pre-Volcker,Martin
1960 Q3,Pre-Volcker,Martin
1960 Q4,Pre-Volcker,Martin
1961 Q1,Pre-Volcker,Martin
1961 Q2,Pre-Volcker,Martin
1961 Q3,Pre-Volcker,Martin
1961 Q4,Pre-Volcker,Martin
1962 Q1,Pre-Volcker,Martin
1962 Q2,Pre-Volcker,Martin
1962 Q3,Pre-Volcker,Martin
1962 Q4,Pre-Volcker,Martin
1963 Q1,Pre-Volcker,Martin
1963 Q2,Pre-Volcker,Martin
1963 Q3,Pre-Volcker,Martin
1963 Q4,Pre-Volcker,Martin
1964 Q1,Pre-Volcker,Martin
1964 Q2,Pre-Volcker,Martin
1964 Q3,Pre-Volcker,Martin
1964 Q4,Pre-Volcker,Martin
1965 Q1,Pre-Volcker,Martin
1965 Q2,Pre-Volcker,Martin
1965 Q3,Pre-Volcker,Martin
1965 Q4,Pre-Volcker,Martin
1966 Q1,Pre-Volcker,Martin
1966 Q2,Pre-Volcker,Martin
1966 Q3,Pre-Volcker,Martin
1966 Q4,Pre-Volcker,Martin
1967 Q1,Pre-Volcker,Martin
1967 Q2,Pre-Volcker,Martin
1967 Q3,Pre-Volcker,Martin
1967 Q4,Pre-Volcker,Martin
1968 Q1,Pre-Volcker,Martin
1968 Q2,Pre-Volcker,Martin
1968 Q3,Pre-Volcker,Martin
1968 Q4,Pre-Volcker,Martin
1969 Q1,Pre-Volcker,Martin
1969 Q2,Pre-Volcker,Martin
1969 Q3,Pre-Volcker,Martin
1969 Q4,Pre-Volcker,Martin
1970 Q1,Pre-Volcker,Martin
1970 Q2,Pre-Volcker,Burns
1970 Q3,Pre-Volcker,Burns
1970 Q4,Pre-Volcker,Burns
1971 Q1,Pre-Volcker,Burns
1971 Q2,Pre-Volcker,Burns
1971 Q3,Pre-Volcker,Burns
1971 Q4,Pre-Volcker,Burns
1972 Q1,Pre-Volcker,Burns
1972 Q2,Pre-Volcker,Burns
1972 Q3,Pre-Volcker,Burns
1972 Q4,Pre-Volcker,Burns
1973 Q1,Pre-Volcker,Burns
1973 Q2,Pre-Volcker,Burns
1973 Q3,Pre-Volcker,Burns
1973 Q4,Pre-Volcker,Burns
1974 Q1,Pre-Volcker,Burns
1974 Q2,Pre-Volcker,Burns
1974 Q3,Pre-Volcker,Burns
1974 Q4,Pre-Volcker,Burns
1975 Q1,Pre-Volcker,Burns
1975 Q2,Pre-Volcker,Burns
1975 Q3,Pre-Volcker,Burns
1975 Q4,Pre-Volcker,Burns
1976 Q1,Pre-Volcker,Burns
1976 Q2,Pre-Volcker,Burns
1976 Q3,Pre-Volcker,Burns
1976 Q4,Pre-Volcker,Burns
1977 Q1,Pre-Volcker,Burns
1977 Q2,Pre-Volcker,Burns
1977 Q3,Pre-Volcker,Burns
1977 Q4,Pre-Volcker,Burns
1978 Q1,Pre-Volcker,Burns
1978 Q2,Pre-Volcker,Miller
1978 Q3,Pre-Volcker,Miller
1978 Q4,Pre-Volcker,Miller
1979 Q1,Pre-Volcker,Miller
1979 Q2,Pre-Volcker,Miller
1979 Q3,Pre-Volcker,Miller
1979 Q4,Volcker,Volcker
1980 Q1,Volcker,Volcker
1980 Q2,Volcker,Volcker
1980 Q3,Volcker,Volcker
1980 Q4,Volcker,Volcker
1981 Q1,Volcker,Volcker
1981 Q2,Volcker,Volcker
1981 Q3,Volcker,Volcker
1981 Q4,Volcker,Volcker
1982 Q1,Volcker,Volcker
1982 Q2,Volcker,Volcker
1982 Q3,Volcker,Volcker
1982 Q4,Volcker,Volcker
1983 Q1,Volcker,Volcker
1983 Q2,Volcker,Volcker
1983 Q3,Volcker,Volcker
1983 Q4,Volcker,Volcker
1984 Q1,Volcker,Volcker
1984 Q2,Volcker,Volcker
1984 Q3,Volcker,Volcker
1984 Q4,Volcker,Volcker
1985 Q1,Volcker,Volcker
1985 Q2,Volcker,Volcker
1985 Q3,Volcker,Volcker
1985 Q4,Volcker,Volcker
1986 Q1,Volcker,Volcker
1986 Q2,Volcker,Volcker
1986 Q3,Volcker,Volcker
1986 Q4,Volcker,Volcker
1987 Q1,Volcker,Volcker
1987 Q2,Volcker,Volcker
1987 Q3,Volcker,Volcker
1987 Q4,Greenspan,Greenspan
1988 Q1,Greenspan,Greenspan
1988 Q2,Greenspan,Greenspan
1988 Q3,Greenspan,Greenspan
1988 Q4,Greenspan,Greenspan
1989 Q1,Greenspan,Greenspan
1989 Q2,Greenspan,Greenspan
1989 Q3,Greenspan,Greenspan
1989 Q4,Greenspan,Greenspan
1990 Q1,Greenspan,Greenspan
1990 Q2,Greenspan,Greenspan
1990 Q3,Greenspan,Greenspan
1990 Q4,Greenspan,Greenspan
1991 Q1,Greenspan,Greenspan
1991 Q2,Greenspan,Greenspan
1991 Q3,Greenspan,Greenspan
1991 Q4,Greenspan,Greenspan
1992 Q1,Greenspan,Greenspan
1992 Q2,Greenspan,Greenspan
1992 Q3,Greenspan,Greenspan
1992 Q4,Greenspan,Greenspan
1993 Q1,Greenspan,Greenspan
1993 Q2,Greenspan,Greenspan
1993 Q3,Greenspan,Greenspan
1993 Q4,Greenspan,Greenspan
1994 Q1,Greenspan,Greenspan
1994 Q2,Greenspan,Greenspan
1994 Q3,Greenspan,Greenspan
1994 Q4,Greenspan,Greenspan
1995 Q1,Greenspan,Greenspan
1995 Q2,Greenspan,Greenspan
1995 Q3,Greenspan,Greenspan
1995 Q4,Greenspan,Greenspan
1996 Q1,Greenspan,Greenspan
1996 Q2,Greenspan,Greenspan
1996 Q3,Greenspan,Greenspan
1996 Q4,Greenspan,Greenspan
1997 Q1,Greenspan,Greenspan
1997 Q2,Greenspan,Greenspan
1997 Q3,Greenspan,Greenspan
1997 Q4,Greenspan,Greenspan
1998 Q1,Greenspan,Greenspan
1998 Q2,Greenspan,Greenspan
1998 Q3,Greenspan,Greenspan
1998 Q4,Greenspan,Greenspan
1999 Q1,Greenspan,Greenspan
1999 Q2,Greenspan,Greenspan
1999 Q3,Greenspan,Greenspan
1999 Q4,Greenspan,Greenspan
2000 Q1,Greenspan,Greenspan
2000 Q2,Greenspan,Greenspan
2000 Q3,Greenspan,Greenspan
2000 Q4,Greenspan,Greenspan
2001 Q1,Greenspan,Greenspan
2001 Q2,Greenspan,Greenspan
2001 Q3,Greenspan,Greenspan
2001 Q4,Greenspan,Greenspan
2002 Q1,Greenspan,Greenspan
2002 Q2,Greenspan,Greenspan
2002 Q3,Greenspan,Greenspan
2002 Q4,Greenspan,Greenspan
2003 Q1,Greenspan,Greenspan
2003 Q2,Greenspan,Greenspan
2003 Q3,Greenspan,Greenspan
2003 Q4,Greenspan,Greenspan
2004 Q1,Greenspan,Greenspan
2004 Q2,Greenspan,Greenspan
2004 Q3,Greenspan,Greenspan
2004 Q4,Greenspan,Greenspan
2005 Q1,Greenspan,Greenspan
2005 Q2,Greenspan,Greenspan
2005 Q3,Greenspan,Greenspan
2005 Q4,Greenspan,Greenspan
2006 Q1,Greenspan,Greenspan
2006 Q2,Bernanke,Bernanke
2006 Q3,Bernanke,Bernanke
2006 Q4,Bernanke,Bernanke
2007 Q1,Bernanke,Bernanke
2007 Q2,Bernanke,Bernanke
2007 Q3,Bernanke,Bernanke
2007 Q4,Bernanke,Bernanke
2008 Q1,Bernanke,Bernanke
2008 Q2,Bernanke,Bernanke
2008 Q3,Bernanke,Bernanke
2008 Q4,Bernanke,Bernanke
2009 Q1,Bernanke,Bernanke
2009 Q2,Bernanke,Bernanke
2009 Q3,Bernanke,Bernanke
2009 Q4,Bernanke,Bernanke
2010 Q1,Bernanke,Bernanke
2010 Q2,Bernanke,Bernanke
2010 Q3,Bernanke,Bernanke
2010 Q4,Bernanke,Bernanke
2011 Q1,Bernanke,Bernanke
2011 Q2,Bernanke,Bernanke
2011 Q3,Bernanke,Bernanke
2011 Q4,Bernanke,Bernanke
2012 Q1,Bernanke,Bernanke
2012 Q2,Bernanke,Bernanke
2012 Q3,Bernanke,Bernanke
2012 Q4,Bernanke,Bernanke
2013 Q1,Bernanke,Bernanke
2013 Q2,Bernanke,Bernanke
2013 Q3,Bernanke,Bernanke
2013 Q4,Bernanke,Bernanke
2014 Q1,Bernanke,Bernanke
2014 Q2,Post-Bernanke,Yellen
2014 Q3,Post-Bernanke,Yellen
2014 Q4,Post-Bernanke,Yellen
2015 Q1,Post-Bernanke,Yellen
2015 Q2,Post-Bernanke,Yellen
2015 Q3,Post-Bernanke,Yellen
2015 Q4,Post-Bernanke,Yellen
2016 Q1,Post-Bernanke,Yellen
2016 Q2,Post-Bernanke,Yellen
2016 Q3,Post-Bernanke,Yellen
2016 Q4,Post-Bernanke,Yellen
2017 Q1,Post-Bernanke,Yellen
2017 Q2,Post-Bernanke,Yellen
2017 Q3,Post-Bernanke,Yellen
2017 Q4,Post-Bernanke,Yellen
2018 Q1,Post-Bernanke,Yellen
2018 Q2,Post-Bernanke,Powell
2018 Q3,Post-Bernanke,Powell
2018 Q4,Post-Bernanke,Powell
2019 Q1,Post-Bernanke,Powell
2019 Q2,Post-Bernanke,Powell
2019 Q3,Post-Bernanke,Powell
2019 Q4,Post-Bernanke,Powell
2020 Q1,Post-Bernanke,Powell
2020 Q2,Post-Bernanke,Powell
2020 Q3,Post-Bernanke,Powell
2020 Q4,Post-Bernanke,Powell
2021 Q1,Post-Bernanke,Powell
2021 Q2,Post-Bernanke,Powell
2021 Q3,Post-Bernanke,Powell
2021 Q4,Post-Bernanke,Powell
2022 Q1,Post-Bernanke,Powell
2022 Q2,Post-Bernanke,Powell
2022 Q3,Post-Bernanke,Powell
2022 Q4,Post-Bernanke,Powell
2023 Q1,Post-Bernanke,Powell
2023 Q2,Post-Bernanke,Powell
2023 Q3,Post-Bernanke,Powell
2023 Q4,Post-Bernanke,Powell
2024 Q1,Post-Bernanke,Powell
