"","irf","quart","time"
"1",0,1,1968 Q1
"2",0.529640688924156,2,1968 Q1
"3",0.584059684438176,3,1968 Q1
"4",0.525285220659007,4,1968 Q1
"5",0.420517915655041,5,1968 Q1
"6",0.273938844764823,6,1968 Q1
"7",0.383368391202193,7,1968 Q1
"8",0.391067727244187,8,1968 Q1
"9",0.0629834199042518,9,1968 Q1
"10",0,10,1968 Q1
"11",0.139101502541933,11,1968 Q1
"12",0.407293808119652,12,1968 Q1
"13",0.33476040387093,1,1968 Q2
"14",1.05683853096939,2,1968 Q2
"15",1.21393982719026,3,1968 Q2
"16",1.30982967725451,4,1968 Q2
"17",1.37888730895766,5,1968 Q2
"18",1.36469171960251,6,1968 Q2
"19",1.44868070102322,7,1968 Q2
"20",1.36464119257754,8,1968 Q2
"21",0.799523044432684,9,1968 Q2
"22",0.496431756531565,10,1968 Q2
"23",0.566782347868138,11,1968 Q2
"24",0.8260380566525,12,1968 Q2
"25",0.119277114578224,1,1968 Q3
"26",0.765492355102286,2,1968 Q3
"27",0.86584816935358,3,1968 Q3
"28",0.876265635451733,4,1968 Q3
"29",0.849262117922001,5,1968 Q3
"30",0.761907236139575,6,1968 Q3
"31",0.859955477174756,7,1968 Q3
"32",0.826613751209109,8,1968 Q3
"33",0.392487988772234,9,1968 Q3
"34",0.205556208775171,10,1968 Q3
"35",0.330432407029972,11,1968 Q3
"36",0.594626761410663,12,1968 Q3
"37",0.21162709570367,1,1968 Q4
"38",0.890355001902474,2,1968 Q4
"39",1.01503030842644,3,1968 Q4
"40",1.06207879622435,4,1968 Q4
"41",1.07624434265157,5,1968 Q4
"42",1.02024344333797,6,1968 Q4
"43",1.11226628739553,7,1968 Q4
"44",1.05719694036701,8,1968 Q4
"45",0.566931584055285,9,1968 Q4
"46",0.330217157813626,10,1968 Q4
"47",0.431725238817758,11,1968 Q4
"48",0.693803030800022,12,1968 Q4
"49",0.283454858801239,1,1969 Q1
"50",0.987470393858175,2,1969 Q1
"51",1.13106086103867,3,1969 Q1
"52",1.20660014349195,4,1969 Q1
"53",1.25278607299679,5,1969 Q1
"54",1.22117160449228,6,1969 Q1
"55",1.30850802867835,7,1969 Q1
"56",1.23653942082315,8,1969 Q1
"57",0.702609935942101,9,1969 Q1
"58",0.427175673732424,10,1969 Q1
"59",0.51050855243048,11,1969 Q1
"60",0.770940129213967,12,1969 Q1
"61",0,1,1969 Q2
"62",0.571261571190885,2,1969 Q2
"63",0.63378706412913,3,1969 Q2
"64",0.587222940916547,4,1969 Q2
"65",0.496178657231564,5,1969 Q2
"66",0.360050913830956,6,1969 Q2
"67",0.467471994609116,7,1969 Q2
"68",0.467928790296821,8,1969 Q2
"69",0.121131284998602,9,1969 Q2
"70",0.011639176937575,10,1969 Q2
"71",0.172865779804528,11,1969 Q2
"72",0.440352564582771,12,1969 Q2
"73",0.0577104604945937,1,1969 Q3
"74",0.682250590568829,2,1969 Q3
"75",0.766393409971673,3,1969 Q3
"76",0.752390194936653,4,1969 Q3
"77",0.697940634768957,5,1969 Q3
"78",0.58968309800731,6,1969 Q3
"79",0.69174827036091,7,1969 Q3
"80",0.672891625103842,8,1969 Q3
"81",0.276192258583535,9,1969 Q3
"82",0.122448909416201,10,1969 Q3
"83",0.262903852504782,11,1969 Q3
"84",0.528509248484423,12,1969 Q3
"85",0,1,1969 Q4
"86",0.585135198613128,2,1969 Q4
"87",0.650362857359448,3,1969 Q4
"88",0.60786884766906,4,1969 Q4
"89",0.521398904423738,5,1969 Q4
"90",0.388754936853,6,1969 Q4
"91",0.49550652907809,7,1969 Q4
"92",0.493549144647698,8,1969 Q4
"93",0.140513906696718,9,1969 Q4
"94",0.0254903934974032,10,1969 Q4
"95",0.18412053889206,11,1969 Q4
"96",0.451372150070478,12,1969 Q4
"97",0,1,1970 Q1
"98",0.585135198613128,2,1970 Q1
"99",0.650362857359448,3,1970 Q1
"100",0.60786884766906,4,1970 Q1
"101",0.521398904423738,5,1970 Q1
"102",0.388754936853,6,1970 Q1
"103",0.49550652907809,7,1970 Q1
"104",0.493549144647698,8,1970 Q1
"105",0.140513906696718,9,1970 Q1
"106",0.0254903934974032,10,1970 Q1
"107",0.18412053889206,11,1970 Q1
"108",0.451372150070478,12,1970 Q1
"109",0.201365986689731,1,1970 Q2
"110",0.876481374480231,2,1970 Q2
"111",0.998454515196125,3,1970 Q2
"112",1.04143288947184,4,1970 Q2
"113",1.0510240954594,5,1970 Q2
"114",0.99153942031593,6,1970 Q2
"115",1.08423175292655,7,1970 Q2
"116",1.03157658601613,8,1970 Q2
"117",0.547548962357168,9,1970 Q2
"118",0.316365941253797,10,1970 Q2
"119",0.420470479730226,11,1970 Q2
"120",0.682783445312315,12,1970 Q2
"121",0.293715967815177,1,1970 Q3
"122",1.00134402128042,2,1970 Q3
"123",1.14763665426899,3,1970 Q3
"124",1.22724605024446,4,1970 Q3
"125",1.27800632018896,5,1970 Q3
"126",1.24987562751433,6,1970 Q3
"127",1.33654256314732,7,1970 Q3
"128",1.26215977517403,8,1970 Q3
"129",0.721992557640218,9,1970 Q3
"130",0.441026890292252,10,1970 Q3
"131",0.521763311518011,11,1970 Q3
"132",0.781959714701674,12,1970 Q3
"133",0.252671531759423,1,1970 Q4
"134",0.945849511591446,2,1970 Q4
"135",1.08133348134771,3,1970 Q4
"136",1.14466242323441,4,1970 Q4
"137",1.17712533142027,5,1970 Q4
"138",1.13505953542615,6,1970 Q4
"139",1.22440442527142,7,1970 Q4
"140",1.15967835777052,8,1970 Q4
"141",0.644462070847751,9,1970 Q4
"142",0.385622024052939,10,1970 Q4
"143",0.476744275167885,11,1970 Q4
"144",0.737881372750848,12,1970 Q4
"145",0.303977076829115,1,1971 Q1
"146",1.01521764870266,2,1971 Q1
"147",1.1642124474993,3,1971 Q1
"148",1.24789195699697,4,1971 Q1
"149",1.30322656738114,5,1971 Q1
"150",1.27857965053637,6,1971 Q1
"151",1.36457709761629,7,1971 Q1
"152",1.28778012952491,8,1971 Q1
"153",0.741375179338334,9,1971 Q1
"154",0.45487810685208,10,1971 Q1
"155",0.533018070605543,11,1971 Q1
"156",0.792979300189381,12,1971 Q1
"157",0.478415930066067,1,1971 Q2
"158",1.25106931488079,2,1971 Q2
"159",1.44600093241471,3,1971 Q2
"160",1.5988723717897,4,1971 Q2
