"","irf","quart","time"
"1",1.79967398445023,1,1968 Q1
"2",1.33250950045834,2,1968 Q1
"3",2.17137443130704,3,1968 Q1
"4",2.04463225668812,4,1968 Q1
"5",1.93445780965259,5,1968 Q1
"6",2.0059364489405,6,1968 Q1
"7",1.55109602109776,7,1968 Q1
"8",1.29150817223189,8,1968 Q1
"9",1.29474946539394,9,1968 Q1
"10",0.905902995624346,10,1968 Q1
"11",0.851733719784169,11,1968 Q1
"12",0.819377100257722,12,1968 Q1
"13",0.87841322988499,13,1968 Q1
"14",2.28367080699189,1,1968 Q2
"15",1.91309514176528,2,1968 Q2
"16",2.76500415077135,3,1968 Q2
"17",2.66058991457103,4,1968 Q2
"18",2.64984791002021,5,1968 Q2
"19",2.65409978841971,6,1968 Q2
"20",2.05686635907273,7,1968 Q2
"21",1.70741770436842,8,1968 Q2
"22",1.68788736145289,9,1968 Q2
"23",1.29643807620904,10,1968 Q2
"24",1.12055575643311,11,1968 Q2
"25",0.866559670537715,12,1968 Q2
"26",0.685128949941357,13,1968 Q2
"27",2.01619887874518,1,1968 Q3
"28",1.59224518209565,2,1968 Q3
"29",2.43694562159371,3,1968 Q3
"30",2.32019226153047,4,1968 Q3
"31",2.25450074929074,5,1968 Q3
"32",2.29590425870752,6,1968 Q3
"33",1.77736169861288,7,1968 Q3
"34",1.47757296292455,8,1968 Q3
"35",1.47062694520979,9,1968 Q3
"36",1.08061605799118,10,1968 Q3
"37",0.97199620986396,11,1968 Q3
"38",0.840485092225087,12,1968 Q3
"39",0.791943946752312,13,1968 Q3
"40",2.13082970513663,1,1968 Q4
"41",1.72975230766835,2,1968 Q4
"42",2.57754213409841,3,1968 Q4
"43",2.46607696997643,4,1968 Q4
"44",2.42393524674623,5,1968 Q4
"45",2.44941662858417,6,1968 Q4
"46",1.89714941023853,7,1968 Q4
"47",1.57607785211478,8,1968 Q4
"48",1.56373855217112,9,1968 Q4
"49",1.17311120865598,10,1968 Q4
"50",1.03566458696502,11,1968 Q4
"51",0.851659911501927,12,1968 Q4
"52",0.746166090976189,13,1968 Q4
"53",2.21998701455219,1,1969 Q1
"54",1.83670229422489,2,1969 Q1
"55",2.68689497715763,3,1969 Q1
"56",2.57954285432328,4,1969 Q1
"57",2.55571763365605,5,1969 Q1
"58",2.56881513848824,6,1969 Q1
"59",1.99031763039181,7,1969 Q1
"60",1.6526927659294,8,1969 Q1
"61",1.63615869091882,9,1969 Q1
"62",1.24505188139527,10,1969 Q1
"63",1.08518443582141,11,1969 Q1
"64",0.860351437606137,12,1969 Q1
"65",0.710561092039204,13,1969 Q1
"66",1.83788425991404,1,1969 Q2
"67",1.37834520898257,2,1969 Q2
"68",2.21823993547528,3,1969 Q2
"69",2.09326049283677,4,1969 Q2
"70",1.99093597547108,5,1969 Q2
"71",2.05710723889939,6,1969 Q2
"72",1.59102525830631,7,1969 Q2
"73",1.3243431352953,8,1969 Q2
"74",1.32578666771438,9,1969 Q2
"75",0.936734712512612,10,1969 Q2
"76",0.872956512151191,11,1969 Q2
"77",0.823102040016669,12,1969 Q2
"78",0.863153944626282,13,1969 Q2
"79",1.93977832781755,1,1969 Q3
"80",1.50057376504719,2,1969 Q3
"81",2.34321461325724,3,1969 Q3
"82",2.22293578923317,4,1969 Q3
"83",2.14154441765374,5,1969 Q3
"84",2.19356267878975,6,1969 Q3
"85",1.69750322419578,7,1969 Q3
"86",1.41190303679773,8,1969 Q3
"87",1.4085525405689,9,1969 Q3
"88",1.01895262421465,10,1969 Q3
"89",0.929550625129916,11,1969 Q3
"90",0.833035212707193,12,1969 Q3
"91",0.822462517269728,13,1969 Q3
"92",1.85062101840198,1,1969 Q4
"93",1.39362377849065,2,1969 Q4
"94",2.23386177019803,3,1969 Q4
"95",2.10946990488632,4,1969 Q4
"96",2.00976203074392,5,1969 Q4
"97",2.07416416888568,6,1969 Q4
"98",1.60433500404249,7,1969 Q4
"99",1.3352881229831,8,1969 Q4
"100",1.3361324018212,9,1969 Q4
"101",0.947011951475367,10,1969 Q4
"102",0.880030776273532,11,1969 Q4
"103",0.824343686602984,12,1969 Q4
"104",0.858067516206713,13,1969 Q4
"105",1.85062101840198,1,1970 Q1
"106",1.39362377849065,2,1970 Q1
"107",2.23386177019803,3,1970 Q1
"108",2.10946990488632,4,1970 Q1
"109",2.00976203074392,5,1970 Q1
"110",2.07416416888568,6,1970 Q1
"111",1.60433500404249,7,1970 Q1
"112",1.3352881229831,8,1970 Q1
"113",1.3361324018212,9,1970 Q1
"114",0.947011951475367,10,1970 Q1
"115",0.880030776273532,11,1970 Q1
"116",0.824343686602984,12,1970 Q1
"117",0.858067516206713,13,1970 Q1
"118",2.11809294664869,1,1970 Q2
"119",1.71447373816027,2,1970 Q2
"120",2.56192029937567,3,1970 Q2
"121",2.44986755792687,4,1970 Q2
"122",2.40510919147339,5,1970 Q2
"123",2.43235969859788,6,1970 Q2
"124",1.88383966450234,7,1970 Q2
"125",1.56513286442697,8,1970 Q2
"126",1.5533928180643,9,1970 Q2
"127",1.16283396969323,10,1970 Q2
"128",1.02859032284268,11,1970 Q2
"129",0.850418264915612,12,1970 Q2
"130",0.751252519395758,13,1970 Q2
"131",2.23272377304013,1,1970 Q3
"132",1.85198086373297,2,1970 Q3
"133",2.70251681188037,3,1970 Q3
"134",2.59575226637283,4,1970 Q3
"135",2.57454368892888,5,1970 Q3
"136",2.58587206847453,6,1970 Q3
"137",2.00362737612799,7,1970 Q3
"138",1.6636377536172,8,1970 Q3
"139",1.64650442502563,9,1970 Q3
"140",1.25532912035802,10,1970 Q3
"141",1.09225869994375,11,1970 Q3
"142",0.861593084192452,12,1970 Q3
"143",0.705474663619635,13,1970 Q3
"144",2.18177673908838,1,1970 Q4
"145",1.79086658570066,2,1970 Q4
"146",2.64002947298939,3,1970 Q4
"147",2.53091461817463,4,1970 Q4
"148",2.49923946783755,5,1970 Q4
"149",2.51764434852935,6,1970 Q4
"150",1.95038839318326,7,1970 Q4
"151",1.61985780286599,8,1970 Q4
"152",1.60512148859837,9,1970 Q4
"153",1.214220164507,10,1970 Q4
"154",1.06396164345439,11,1970 Q4
"155",0.85662649784719,12,1970 Q4
"156",0.725820377297912,13,1970 Q4
"157",2.24546053152807,1,1971 Q1
"158",1.86725943324105,2,1971 Q1
"159",2.71813864660312,3,1971 Q1
"160",2.61196167842238,4,1971 Q1
"161",2.59336974420172,5,1971 Q1
"162",2.60292899846083,6,1971 Q1
"163",2.01693712186418,7,1971 Q1
"164",1.67458274130501,8,1971 Q1
"165",1.65685015913245,9,1971 Q1
"166",1.26560635932078,10,1971 Q1
"167",1.09933296406609,11,1971 Q1
"168",0.862834730778768,12,1971 Q1
"169",0.700388235200065,13,1971 Q1
"170",2.46198542582302,1,1971 Q2
"171",2.12699511487836,2,1971 Q2
"172",2.98370983688978,3,1971 Q2
"173",2.88752168326474,4,1971 Q2
"174",2.91341268383986,5,1971 Q2
"175",2.89289680822784,6,1971 Q2
"176",2.24320279937929,7,1971 Q2
"177",1.86064753199766,8,1971 Q2
"178",1.83272763894829,9,1971 Q2
"179",1.44031942168762,10,1971 Q2
"180",1.21959545414588,11,1971 Q2
"181",0.883942722746133,12,1971 Q2
"182",0.613918952067387,13,1971 Q2
"183",2.33461784094364,1,1971 Q3
"184",1.97420941979759,2,1971 Q3
"185",2.82749148966233,3,1971 Q3
"186",2.72542756276923,4,1971 Q3
"187",2.72515213111154,5,1971 Q3
"188",2.72232750836489,6,1971 Q3
"189",2.11010534201746,7,1971 Q3
"190",1.75119765511963,8,1971 Q3
"191",1.72927029788015,9,1971 Q3
"192",1.33754703206007,10,1971 Q3
"193",1.14885281292247,11,1971 Q3
"194",0.871526256882977,12,1971 Q3
"195",0.66478323626308,13,1971 Q3
"196",2.29640756547982,1,1971 Q4
"197",1.92837371127336,2,1971 Q4
"198",2.7806259854941,3,1971 Q4
"199",2.67679932662058,4,1971 Q4
"200",2.66867396529305,5,1971 Q4
"201",2.67115671840601,6,1971 Q4
"202",2.07017610480891,7,1971 Q4
"203",1.71836269205622,8,1971 Q4
"204",1.6982330955597,9,1971 Q4
"205",1.3067153151718,10,1971 Q4
"206",1.12763002055545,11,1971 Q4
"207",0.86780131712403,12,1971 Q4
"208",0.680042521521788,13,1971 Q4
"209",2.33461784094364,1,1972 Q1
"210",1.97420941979759,2,1972 Q1
"211",2.82749148966233,3,1972 Q1
"212",2.72542756276923,4,1972 Q1
"213",2.72515213111154,5,1972 Q1
"214",2.72232750836489,6,1972 Q1
"215",2.11010534201746,7,1972 Q1
"216",1.75119765511963,8,1972 Q1
"217",1.72927029788015,9,1972 Q1
"218",1.33754703206007,10,1972 Q1
"219",1.14885281292247,11,1972 Q1
"220",0.871526256882977,12,1972 Q1
"221",0.66478323626308,13,1972 Q1
"222",2.50019570128684,1,1972 Q2
"223",2.1728308234026,2,1972 Q2
"224",3.03057534105802,3,1972 Q2
"225",2.93614991941339,4,1972 Q2
"226",2.96989084965836,5,1972 Q2
"227",2.94406759818673,6,1972 Q2
"228",2.28313203658784,7,1972 Q2
"229",1.89348249506107,8,1972 Q2
"230",1.86376484126873,9,1972 Q2
"231",1.47115113857588,10,1972 Q2
"232",1.2408182465129,11,1972 Q2
"233",0.88766766250508,12,1972 Q2
"234",0.59865966680868,13,1972 Q2
"235",2.75493087104561,1,1972 Q3
"236",2.47840221356415,2,1972 Q3
"237",3.34301203551292,3,1972 Q3
"238",3.2603381604044,4,1972 Q3
"239",3.34641195511501,5,1972 Q3
"240",3.28520619791263,6,1972 Q3
"241",2.54932695131151,7,1972 Q3
"242",2.11238224881714,8,1972 Q3
"243",2.07067952340502,9,1972 Q3
"244",1.67669591783099,10,1972 Q3
"245",1.38230352895971,11,1972 Q3
"246",0.912500594231392,12,1972 Q3
"247",0.496931098417294,13,1972 Q3
"248",2.60208976919035,1,1972 Q4
"249",2.29505937946722,2,1972 Q4
"250",3.15555001883998,3,1972 Q4
"251",3.06582521580979,4,1972 Q4
"252",3.12049929184102,5,1972 Q4
"253",3.08052303807709,6,1972 Q4
"254",2.38961000247731,7,1972 Q4
"255",1.9810423965635,8,1972 Q4
"256",1.94653071412325,9,1972 Q4
"257",1.55336905027793,10,1972 Q4
"258",1.29741235949163,11,1972 Q4
"259",0.897600835195605,12,1972 Q4
"260",0.557968239452125,13,1972 Q4
"261",2.58935301070241,1,1973 Q1
"262",2.27978080995914,2,1973 Q1
"263",3.13992818411723,3,1973 Q1
"264",3.04961580376024,4,1973 Q1
"265",3.10167323656819,5,1973 Q1
"266",3.0634661080908,6,1973 Q1
"267",2.37630025674113,7,1973 Q1
"268",1.9700974088757,8,1973 Q1
"269",1.93618498001644,9,1973 Q1
"270",1.54309181131517,10,1973 Q1
"271",1.29033809536929,11,1973 Q1
"272",0.896359188609289,12,1973 Q1
"273",0.563054667871695,13,1973 Q1
"274",2.4874589427989,1,1973 Q2
"275",2.15755225389452,2,1973 Q2
"276",3.01495350633527,3,1973 Q2
"277",2.91994050736384,4,1973 Q2
"278",2.95106479438553,5,1973 Q2
"279",2.92701066820043,6,1973 Q2
"280",2.26982229085166,7,1973 Q2
"281",1.88253750737327,8,1973 Q2
"282",1.85341910716192,9,1973 Q2
"283",1.46087389961313,10,1973 Q2
"284",1.23374398239056,11,1973 Q2
"285",0.886426015918764,12,1973 Q2
"286",0.603746095228249,13,1973 Q2
"287",2.57661625221447,1,1973 Q3
"288",2.26450224045106,2,1973 Q3
"289",3.12430634939449,3,1973 Q3
"290",3.03340639171069,4,1973 Q3
"291",3.08284718129535,5,1973 Q3
"292",3.0464091781045,6,1973 Q3
"293",2.36299051100494,7,1973 Q3
"294",1.95915242118789,8,1973 Q3
"295",1.92583924590962,9,1973 Q3
"296",1.53281457235241,10,1973 Q3
"297",1.28326383124695,11,1973 Q3
"298",0.895117542022973,12,1973 Q3
"299",0.568141096291264,13,1973 Q3
"300",2.33461784094364,1,1973 Q4
"301",1.97420941979759,2,1973 Q4
"302",2.82749148966233,3,1973 Q4
"303",2.72542756276923,4,1973 Q4
"304",2.72515213111154,5,1973 Q4
"305",2.72232750836489,6,1973 Q4
"306",2.11010534201746,7,1973 Q4
"307",1.75119765511963,8,1973 Q4
"308",1.72927029788015,9,1973 Q4
"309",1.33754703206007,10,1973 Q4
"310",1.14885281292247,11,1973 Q4
"311",0.871526256882977,12,1973 Q4
"312",0.66478323626308,13,1973 Q4
"313",2.33461784094364,1,1974 Q1
"314",1.97420941979759,2,1974 Q1
"315",2.82749148966233,3,1974 Q1
"316",2.72542756276923,4,1974 Q1
"317",2.72515213111154,5,1974 Q1
"318",2.72232750836489,6,1974 Q1
"319",2.11010534201746,7,1974 Q1
"320",1.75119765511963,8,1974 Q1
"321",1.72927029788015,9,1974 Q1
"322",1.33754703206007,10,1974 Q1
"323",1.14885281292247,11,1974 Q1
"324",0.871526256882977,12,1974 Q1
"325",0.66478323626308,13,1974 Q1
"326",2.21998701455219,1,1974 Q2
"327",1.83670229422489,2,1974 Q2
"328",2.68689497715763,3,1974 Q2
"329",2.57954285432328,4,1974 Q2
"330",2.55571763365605,5,1974 Q2
"331",2.56881513848824,6,1974 Q2
"332",1.99031763039181,7,1974 Q2
"333",1.6526927659294,8,1974 Q2
"334",1.63615869091882,9,1974 Q2
"335",1.24505188139527,10,1974 Q2
"336",1.08518443582141,11,1974 Q2
"337",0.860351437606137,12,1974 Q2
"338",0.710561092039204,13,1974 Q2
"339",2.16903998060044,1,1974 Q3
"340",1.77558801619258,2,1974 Q3
"341",2.62440763826665,3,1974 Q3
"342",2.51470520612508,4,1974 Q3
"343",2.48041341256472,5,1974 Q3
"344",2.50058741854306,6,1974 Q3
"345",1.93707864744708,7,1974 Q3
"346",1.60891281517819,8,1974 Q3
"347",1.59477575449156,9,1974 Q3
"348",1.20394292554425,10,1974 Q3
"349",1.05688737933205,11,1974 Q3
"350",0.855384851260874,12,1974 Q3
"351",0.730906805717481,13,1974 Q3
"352",2.18177673908838,1,1974 Q4
"353",1.79086658570066,2,1974 Q4
"354",2.64002947298939,3,1974 Q4
"355",2.53091461817463,4,1974 Q4
"356",2.49923946783755,5,1974 Q4
"357",2.51764434852935,6,1974 Q4
"358",1.95038839318326,7,1974 Q4
"359",1.61985780286599,8,1974 Q4
"360",1.60512148859837,9,1974 Q4
"361",1.214220164507,10,1974 Q4
"362",1.06396164345439,11,1974 Q4
"363",0.85662649784719,12,1974 Q4
"364",0.725820377297912,13,1974 Q4
"365",2.16903998060044,1,1975 Q1
"366",1.77558801619258,2,1975 Q1
"367",2.62440763826665,3,1975 Q1
"368",2.51470520612508,4,1975 Q1
"369",2.48041341256472,5,1975 Q1
"370",2.50058741854306,6,1975 Q1
"371",1.93707864744708,7,1975 Q1
"372",1.60891281517819,8,1975 Q1
"373",1.59477575449156,9,1975 Q1
"374",1.20394292554425,10,1975 Q1
"375",1.05688737933205,11,1975 Q1
"376",0.855384851260874,12,1975 Q1
"377",0.730906805717481,13,1975 Q1
"378",2.50019570128684,1,1975 Q2
"379",2.1728308234026,2,1975 Q2
"380",3.03057534105802,3,1975 Q2
"381",2.93614991941339,4,1975 Q2
"382",2.96989084965836,5,1975 Q2
"383",2.94406759818673,6,1975 Q2
"384",2.28313203658784,7,1975 Q2
"385",1.89348249506107,8,1975 Q2
"386",1.86376484126873,9,1975 Q2
"387",1.47115113857588,10,1975 Q2
"388",1.2408182465129,11,1975 Q2
"389",0.88766766250508,12,1975 Q2
"390",0.59865966680868,13,1975 Q2
"391",2.34735459943158,1,1975 Q3
"392",1.98948798930567,2,1975 Q3
"393",2.84311332438508,3,1975 Q3
"394",2.74163697481878,4,1975 Q3
"395",2.74397818638437,5,1975 Q3
"396",2.73938443835119,6,1975 Q3
"397",2.12341508775364,7,1975 Q3
"398",1.76214264280743,8,1975 Q3
"399",1.73961603198696,9,1975 Q3
"400",1.34782427102282,10,1975 Q3
"401",1.15592707704482,11,1975 Q3
"402",0.872767903469293,12,1975 Q3
"403",0.659696807843511,13,1975 Q3
"404",2.46198542582302,1,1975 Q4
"405",2.12699511487836,2,1975 Q4
"406",2.98370983688978,3,1975 Q4
"407",2.88752168326474,4,1975 Q4
"408",2.91341268383986,5,1975 Q4
"409",2.89289680822784,6,1975 Q4
"410",2.24320279937929,7,1975 Q4
"411",1.86064753199766,8,1975 Q4
"412",1.83272763894829,9,1975 Q4
"413",1.44031942168762,10,1975 Q4
"414",1.21959545414588,11,1975 Q4
"415",0.883942722746133,12,1975 Q4
"416",0.613918952067387,13,1975 Q4
"417",2.43651190884715,1,1976 Q1
"418",2.09643797586221,2,1976 Q1
"419",2.95246616744429,3,1976 Q1
