"","irf","quart","time"
"1",0.934743886439115,1,1968 Q1
"2",1.8980009983381,2,1968 Q1
"3",3.07652017400143,3,1968 Q1
"4",3.69349678098214,4,1968 Q1
"5",4.27437595632879,5,1968 Q1
"6",4.35549063990141,6,1968 Q1
"7",4.57424008023391,7,1968 Q1
"8",4.46442810612811,8,1968 Q1
"9",4.05895038567819,9,1968 Q1
"10",3.62376903406345,10,1968 Q1
"11",3.51858992059412,11,1968 Q1
"12",3.37427592686789,12,1968 Q1
"13",3.25325065381026,13,1968 Q1
"14",2.94702977946041,14,1968 Q1
"15",2.59162110750967,15,1968 Q1
"16",1.33077491076946,1,1968 Q2
"17",2.25429947274712,2,1968 Q2
"18",3.2881830794495,3,1968 Q2
"19",3.58687079471782,4,1968 Q2
"20",3.85469779439234,5,1968 Q2
"21",3.68972375310277,6,1968 Q2
"22",3.83521067592544,7,1968 Q2
"23",3.72455892869848,8,1968 Q2
"24",3.28028644345104,9,1968 Q2
"25",2.88456426751784,10,1968 Q2
"26",2.76917011231774,11,1968 Q2
"27",2.56228110306483,12,1968 Q2
"28",2.42637361839665,13,1968 Q2
"29",2.02681844667668,14,1968 Q2
"30",1.62257611443855,15,1968 Q2
"31",1.11191566048164,1,1968 Q3
"32",2.05739768425792,2,1968 Q3
"33",3.17121147380715,3,1968 Q3
"34",3.64579568186389,4,1968 Q3
"35",4.08662519967301,5,1968 Q3
"36",4.05764755896518,6,1968 Q3
"37",4.24362166251696,7,1968 Q3
"38",4.1334340004359,8,1968 Q3
"39",3.71060072731341,9,1968 Q3
"40",3.29307216481936,10,1968 Q3
"41",3.18332316425995,11,1968 Q3
"42",3.0110150846402,12,1968 Q3
"43",2.88333198007259,13,1968 Q3
"44",2.53535628847822,14,1968 Q3
"45",2.15810097903048,15,1968 Q3
"46",1.20571248203356,1,1968 Q4
"47",2.14178416503901,2,1968 Q4
"48",3.22134216193958,3,1968 Q4
"49",3.62054215880129,4,1968 Q4
"50",3.98722774026701,5,1968 Q4
"51",3.89996592788129,6,1968 Q4
"52",4.06858838254917,7,1968 Q4
"53",3.95820182683415,8,1968 Q4
"54",3.52618031994382,9,1968 Q4
"55",3.11799735169014,10,1968 Q4
"56",3.00582899914186,11,1968 Q4
"57",2.8187005211079,12,1968 Q4
"58",2.68749268221148,13,1968 Q4
"59",2.3174114991347,14,1968 Q4
"60",1.9285903227768,15,1968 Q4
"61",1.27866556546284,1,1969 Q1
"62",2.20741809453541,2,1969 Q1
"63",3.2603326971537,3,1969 Q1
"64",3.6009005297526,4,1969 Q1
"65",3.90991860517345,5,1969 Q1
"66",3.77732465926049,6,1969 Q1
"67",3.93245138701866,7,1969 Q1
"68",3.82191013625501,8,1969 Q1
"69",3.38274222532303,9,1969 Q1
"70",2.98182805258963,10,1969 Q1
"71",2.86777798182779,11,1969 Q1
"72",2.66912252724944,12,1969 Q1
"73",2.5351732283195,13,1969 Q1
"74",2.14789888520086,14,1969 Q1
